OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Shotgun Normal TE Out,4.91,67,3.0,4.35,1.45,1.45,-0.597
Weak I Normal HB Inside Weak,4.85,184,,,,1.06,-0.052
I Formation Normal HB Blast,4.83,241,,,,0.4,0.135
Shotgun 2 RB 3 WR Shotgun Sweep,4.8,127,,,,,-0.188
I Formation Normal PA Outside Curls,4.74,66,,,3.03,,-0.536
Singleback Normal SE Quick Hit,4.58,52,,,,,0.799
I Formation 3WR HB Inside Strong,4.51,156,,,,,0.007
Shotgun 2 RB 3 WR Shotgun Dive,4.46,69,,,,,0.387
Shotgun 2 RB 3 WR FB In,4.22,51,2.31,1.96,7.84,1.96,-0.401
Goal Line Normal HB Toss Strong,4.18,101,,,,1.94,-0.583
Weak I Normal HB Inside Strong,4.08,51,,,,1.92,0.523
I Formation Normal HB Draw,4.07,101,,,,,0.049
Singleback Big Off Tackle Strong,4.04,205,,,,,0.414
I Formation Normal HB Counter,4.03,38,,,,,0.83
Shotgun 2 RB 3 WR WR Curl,3.97,61,,,1.64,,-0.19
Strong I Normal HB Dive Strong,3.94,66,,,,1.49,-0.442
Singleback Normal FL Post,3.93,65,1.13,2.99,8.96,,-0.213
Strong I Normal HB Off Tackle Strong,3.89,150,,,,,-0.32
Singleback Big HB Inside Strong,3.86,172,,,,,0.426
Goal Line Normal HB Outside Strong,3.82,102,,,,,-0.565
Goal Line Normal PA TE Drag,3.82,90,,3.26,,1.09,-1.124
Shotgun Normal FL Slant,3.72,35,,,2.78,,-0.709
Split Backs 3 Wide Slot Post,3.64,47,0.11,2.13,14.89,4.26,0.377
Shotgun Normal HB Dive,3.63,51,,,,,0.218
I Formation Normal HB Dive,3.62,203,,,,,0.231
Goal Line Normal HB Pitch Weak,3.46,124,,,,,-0.696
Strong I Normal WR Post TE Out,3.43,80,0.91,2.47,8.64,1.23,-0.36
Split Backs 3 Wide Off Tackle Strong,3.35,55,,,,,-0.557
I Formation Power HB Strong Outside,3.23,135,,,,,0.162
Goal Line Normal HB Dive,3.11,117,,,,0.83,-0.43
Singleback Big HB Curls TE Deep,3.09,34,-1.59,5.88,8.82,,-0.897
I Formation Normal FL Hook,3.08,74,1.1,2.6,5.19,1.3,-0.152
I Formation Power HB Dive Weak,3.05,38,,,,,-0.367
I Formation 3WR SE Post,3.02,56,0.76,3.57,3.57,,-0.799
Weak I Normal Skinny Posts,3.01,117,2.43,1.68,0.84,0.84,-0.819
I Formation Power HB Sweep Weak,2.91,51,,,,1.89,-1.15
Split Backs 3 Wide Dive Right,2.91,43,,,,,1.599
Singleback Big PA Curls,2.9,39,-2.52,7.5,7.5,,-1.524
I Formation 3WR Slot Corner Short,2.86,42,1.52,2.38,2.38,,0.082
Weak I Normal Fullback Counter Weak,2.84,56,,,,,0.571
Strong I Normal Counter Strong,2.83,52,,,,,0.909
Goal Line Normal HB Weak,2.49,85,,,,,-1.159
Shotgun Normal HB Delay,2.47,31,,,,,0.433
Goal Line Normal HB Off Tackle,2.34,94,,,,,-1.936
Shotgun Normal HB Sweep,2.18,44,,,,,-0.846
Singleback Big TE Flat Curl,1.93,45,,,11.11,,-0.115
Shotgun Normal Double Outs,1.85,62,0.94,1.61,1.61,,-0.394
Shotgun 2 RB 3 WR WR Hooks,1.74,42,,,2.38,,-0.187
I Formation 3WR Slot Corner Long,1.59,68,-4.56,1.47,27.94,,-1.802
I Formation Normal PA Streaks,1.43,46,,,39.13,,-0.905
Shotgun 2 RB 3 WR FL Drag,0.76,58,,,1.72,,-1.219
I Formation 3WR HB Toss Strong,-2.24,40,,,,,-1.681
Strong I Big TE Post,9.12,711,6.9,3.6,9.41,5.12,1.123
I Formation Big HB Counter Weak,8.72,76,,,,5.26,0.694
I Formation Power Play Action HB Downfield,8.03,2207,7.06,2.65,4.94,4.35,0.599
Shotgun Normal HB Flare,7.9,4251,6.48,2.81,6.6,3.51,0.346
I Formation Twin WR Hard Slants,7.8,1236,6.66,3.11,4.15,3.35,0.463
Strong I Big Backfield Drag,7.79,538,7.15,1.46,6.58,3.84,1.237
Weak I Big WR Post TE Out,7.76,444,6.36,2.68,6.7,2.23,0.786
I Formation Normal FL Hitch,7.02,2744,6.85,2.05,1.76,3.56,0.303
Singleback Normal HB Release Mid,6.93,922,3.89,5.91,4.41,2.37,0.639
I Formation Power PA Flats,6.84,1884,6.28,1.43,5.39,2.96,0.436
I Formation 3WR Slot Short WR Deep,6.74,2060,4.96,3.13,6.26,1.97,0.26
Split Backs Normal Posts,6.73,372,6.16,2.39,2.39,1.33,0.412
I Formation Twin WR Quick Outs,6.7,743,5.9,3.31,0.79,2.52,0.702
Singleback Normal TE Quick Out,6.47,1155,5.77,2.48,2.57,2.65,0.881
Split Backs Normal WR Post,6.45,136,1.6,6.57,10.95,6.57,0.47
I Formation 3WR HB Inside Weak,6.36,2460,,,,1.0,0.326
Weak I Normal WR Corner TE Middle,6.34,2044,4.91,2.19,6.9,1.8,0.258
I Formation 3WR FL Post,6.12,1292,5.17,1.84,5.37,1.53,0.664
I Formation 3WR WR Out,6.03,1763,5.51,2.64,0.67,1.46,0.523
Singleback Empty 4 Short Posts,6.01,166,5.9,1.79,1.19,2.38,-0.509
I Formation 3WR Backfield Flats,5.92,422,4.58,2.81,4.22,2.81,0.554
Singleback Normal PA Rollout,5.86,206,3.16,2.42,12.08,0.48,0.468
