OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
I Formation Normal PA Fullback Flat,4.71,561,4.5,1.57,1.05,1.05,-0.243
Weak I Big Off Tackle Weak,4.68,46,,,,,0.231
Weak I Normal HB Inside Weak,4.66,684,,,,0.72,0.502
Singleback Big TE Flat Curl,4.62,52,3.62,1.92,3.85,,-1.453
I Formation 3WR PA Fullback Flat,4.62,218,4.64,1.36,0.45,2.26,0.364
Shotgun 5 Wide Parallel Slants,4.61,116,4.67,0.85,1.71,2.56,-0.523
Singleback Normal SE Quick Hit,4.53,113,,0.88,,1.77,0.717
Goal Line Normal HB Toss Strong,4.45,345,,,,1.97,-0.569
Singleback Big Corner Ins,4.44,87,2.34,1.15,11.49,,0.545
Singleback Big Off Tackle Strong,4.4,216,,,,,-0.138
Singleback Big HB Inside Strong,4.35,262,,,,0.38,0.407
I Formation Power HB Strong Outside,4.34,803,,,,0.61,0.381
Shotgun 5 Wide Slot Drag,4.33,46,3.45,2.17,2.17,2.17,-0.886
I Formation Normal HB Draw,4.29,314,,,,,0.166
Split Backs 3 Wide Off Tackle Strong,4.26,165,,,,0.6,-0.61
Shotgun Normal Short Attack,4.24,85,3.71,1.15,3.45,,-0.365
Weak I Big HB Off Tackle Strong,4.15,39,,,,,0.289
Split Backs 3 Wide WR Post,4.1,48,1.32,2.0,12.0,,-1.459
Split Backs Normal Weak Pitch Sweep,4.08,53,,,,,-0.06
I Formation Big TE Sneak Out,4.08,51,,,,1.96,0.358
Singleback Slot Strong Overload Strong,4.08,61,-2.31,6.56,16.39,3.28,0.257
Split Backs 3 Wide Dive Left,4.04,246,,,,,0.234
Shotgun Normal FL Slant,4.01,125,1.0,3.97,7.14,1.59,0.12
Shotgun 2 RB 3 WR WR Curl,3.96,226,2.55,2.19,4.39,0.44,-0.832
Strong I Normal HB Dive Strong,3.92,240,,,,0.41,0.191
Shotgun 2 RB 3 WR Shotgun Dive,3.91,260,,,,,0.449
I Formation Normal SE Post,3.85,215,-1.99,3.26,23.26,0.47,-0.923
Shotgun 5 Wide Slot Cross,3.8,47,2.96,2.0,2.0,,-1.187
Singleback Slot Strong Post Curls,3.79,53,,,,,-0.817
I Formation Power HB Sweep Weak,3.75,305,,,,1.6,-0.191
Goal Line Normal HB Outside Strong,3.62,349,,,,0.84,-1.334
Weak I Normal FB Inside Weak,3.57,80,,,,1.23,0.454
Strong I Normal Counter Strong,3.53,123,,,,,-0.344
Singleback Slot Strong HB Checkdown,3.52,88,1.27,1.14,11.36,1.14,-0.04
I Formation Normal FB Middle,3.49,36,-1.22,5.41,10.81,,-1.846
Shotgun Normal HB Sweep,3.45,145,,,,,-0.275
Weak I Normal HB Inside Strong,3.44,210,,,,0.47,0.049
Split Backs Normal Skinny Post Corner,3.41,82,2.21,2.35,2.35,2.35,0.227
Goal Line Normal HB Pitch Weak,3.4,383,,,,,-0.702
Goal Line Normal HB Off Tackle,3.39,308,,,,0.32,-1.165
Strong I Normal HB Off Tackle Strong,3.39,509,,,,,-0.068
Split Backs 3 Wide Dive Right,3.35,163,,,,,-0.463
I Formation 3WR SE Post,3.33,226,2.85,1.33,1.77,0.44,-1.238
I Formation Normal HB Counter,3.32,151,,,,,-0.484
Shotgun Normal HB Dive,3.3,185,,,,,-0.042
Empty 4 Wide Spread Flats,3.27,52,,5.77,,,-0.534
I Formation Normal FL Hook,3.22,277,2.43,1.43,2.86,0.36,-1.048
Strong I Normal Quick Hooks,3.18,71,,,1.39,,-0.24
Singleback Slot Strong Skinny Posts,3.13,61,,,,,-0.653
Shotgun Normal Slot Drag,3.11,45,,2.13,,,0.068
I Formation Normal Cross In,3.08,75,1.88,2.6,1.3,,-0.916
Weak I Normal Fullback Counter Weak,3.07,172,,,,,-0.713
Shotgun Normal Double Outs,3.07,210,,,,0.48,-0.825
Strong I Big WR Quick In,3.04,53,2.16,1.85,1.85,1.85,-0.129
Goal Line Normal HB Weak,3.01,264,,,,0.37,-1.033
Shotgun 2 RB 3 WR FB In,3.01,194,1.04,1.55,8.25,1.03,-1.102
Singleback Normal Post Corner,3.0,50,-5.2,8.0,20.0,2.0,-0.7
I Formation Normal PA Outside Curls,2.98,256,0.67,1.92,8.81,0.38,-1.069
Singleback Big Waggle Post,2.97,37,,,32.43,,1.314
I Formation 3WR Weak Flood,2.96,50,,,,,1.357
I Formation Twin WR HB Toss Weak,2.92,39,,,,,-0.885
Weak I Big HB Dive Strong,2.89,46,,,,,1.479
I Formation Normal Curl & Post,2.86,85,-0.93,4.6,8.05,,-0.271
Goal Line Normal HB Dive,2.82,333,,,,,-0.441
Goal Line Normal PA TE Drag,2.81,320,-0.04,5.57,0.31,0.31,-1.335
I Formation Power HB Draw,2.81,111,,,,0.87,-0.605
Shotgun 2 RB 3 WR WR Hooks,2.78,157,-1.0,6.37,2.55,0.64,-1.372
Singleback Big PA Curls,2.75,55,,,8.77,,-0.219
Singleback Empty 4 Slot Crosses,2.73,36,-6.45,2.7,40.54,2.7,0.006
Split Backs 3 Wide Off Tackle Weak,2.66,47,,,,,-0.692
I Formation 3WR Slot Corner Long,2.62,189,-3.07,4.21,18.42,0.53,-1.29
I Formation Power HB Dive Weak,2.59,175,,,,,-0.818
Singleback Big HB Pitch Weak,2.51,47,,,,,-0.789
Strong I Normal HB Sweep Strong,2.45,32,,,,,-1.887
Singleback Slot Strong TE Corner,2.43,47,-6.88,12.77,10.64,2.13,-1.502
Shotgun 2 RB 3 WR FL Drag,2.33,140,1.39,2.11,0.7,0.7,-1.334
Strong I Big HB Off Tackle,2.22,35,,,,,1.208
I Formation Normal PA Streaks,2.09,162,-6.89,3.66,35.98,0.61,-1.607
Singleback Big HB Curls TE Deep,2.07,67,-0.75,2.94,7.35,,-0.54
I Formation Normal TE Flag,1.75,59,-3.9,3.33,20.0,1.67,-1.788
I Formation Normal HB Toss Weak,1.69,53,,,,,-1.208
Strong I Normal HB Power Strong,1.54,48,,,,,-1.763
Singleback Slot Strong Off Tackle Strong,1.46,34,,,,,-1.168
I Formation Normal HB Toss Strong,1.46,55,,,,,-2.324
Singleback Big WR Streaks,1.32,34,-6.06,5.88,20.59,,-1.594
Shotgun Normal HB Delay,1.27,121,,,,,-0.894
Shotgun Normal Post Flags,1.18,39,,5.13,,,-1.515
Shotgun Normal Deep Weak In and Out,0.59,88,-6.79,4.55,23.86,,-1.386
I Formation 3WR HB Toss Strong,-1.37,167,,,,,-1.278
I Formation Power Play Action Bomb,-1.51,181,-14.22,2.2,55.49,0.55,-2.459
Shotgun 2 RB 3 WR Strong Deep,-2.0,83,-13.48,4.82,40.96,,-1.658
I Formation Power Play Action HB Downfield,9.12,284,7.72,3.5,5.59,5.59,0.102
Strong I Big Backfield Drag,8.66,208,8.69,0.95,5.69,6.16,1.202
Shotgun Normal HB Flare,8.57,564,7.3,2.99,5.98,3.16,0.205
I Formation 3WR Slot Short WR Deep,8.3,239,6.79,3.75,4.58,2.92,-0.044
I Formation Power PA Flats,8.27,263,7.57,2.27,4.92,2.65,0.422
Singleback Normal HB Release Mid,8.11,129,5.62,5.34,4.58,2.29,0.97
Weak I Big WR Post TE Out,7.99,144,6.94,2.08,6.94,1.39,0.305
Strong I Big TE Post,7.93,219,3.95,5.94,10.05,5.02,1.099
I Formation Normal FL Hitch,7.68,327,7.04,2.72,2.72,3.32,0.618
I Formation Twin WR Quick Outs,7.53,92,,2.15,,3.23,1.079
I Formation 3WR FL Post,7.48,124,5.94,3.2,5.6,3.2,0.245
I Formation Twin WR Hard Slants,7.22,142,5.49,2.76,7.59,3.45,0.267
Split Backs 3 Wide WR Quick Out,7.01,111,7.18,1.75,0.88,4.39,-0.234
Split Backs 3 Wide Slot Post,6.96,50,6.39,1.96,3.92,1.96,0.245
I Formation 3WR Backfield Flats,6.52,69,,,4.35,4.35,1.233
Singleback Normal WR Quick In,6.48,63,,1.56,,,0.58
Singleback Normal TE Quick Out,6.48,154,5.48,2.55,3.82,5.73,1.059
Shotgun 2 RB 3 WR WR Hooks,6.32,53,,1.89,,3.77,-1.69
I Formation 3WR WR Out,6.27,219,4.79,4.09,1.36,0.91,0.908
Weak I Big HB Off Tackle Strong,6.24,33,,,,2.94,1.874
Singleback Normal FL Post,6.2,70,2.65,5.63,7.04,2.82,1.09
Singleback Big Ins and Outs,6.1,77,,,,1.27,0.696
Singleback Normal Quick Slant,6.03,38,1.44,7.89,5.26,2.63,-0.031
Singleback Big Corner Ins,5.87,39,1.41,5.13,12.82,2.56,-0.199
Shotgun Normal FL Slant,5.84,55,5.19,1.82,3.64,5.45,-0.795
Strong I Normal Short Attack,5.81,34,,,2.78,2.78,0.468
I Formation 3WR PA Fullback Flat,5.74,76,,2.6,,3.9,-0.698
I Formation 3WR HB Inside Weak,5.71,275,,,,0.35,0.909
Weak I Big Off Tackle Weak,5.69,37,,,,5.13,-1.214
I Formation Normal Max Protect,5.44,163,4.0,2.41,5.42,1.81,0.02
Split Backs Normal Posts,5.43,45,3.48,4.35,2.17,,0.78
Weak I Normal WR Corner TE Middle,5.42,268,3.05,3.31,7.35,0.74,0.067
Weak I Normal HB Inside Weak,5.25,215,,,,1.39,0.153
I Formation Normal SE Post,5.16,82,-1.04,3.61,25.3,2.41,-1.567
I Formation 3WR Slot Corner Short,5.08,51,,3.92,,1.96,0.172
Singleback Big WR Deep,5.05,102,-0.61,6.86,12.75,2.94,0.11
Singleback 4 Wide Quick Outs,4.95,40,,2.44,,2.44,0.039
I Formation Normal HB Draw,4.94,114,,,,1.71,-0.348
I Formation Normal PA Outside Curls,4.87,94,3.72,2.13,4.26,1.06,-1.391
Singleback Normal HB Inside Weak,4.87,146,,,,,0.95
Singleback Normal SE Quick Hit,4.85,47,,,2.13,,0.899
Singleback Normal HB Dive Weak,4.8,148,,,,,0.691
Shotgun Normal TE Out,4.77,73,2.21,5.41,1.35,1.35,0.554
I Formation Normal HB Blast,4.74,288,,,,0.69,0.122
Singleback Normal HB Counter Weak,4.72,178,,,,0.55,0.458
Shotgun 2 RB 3 WR Shotgun Sweep,4.72,200,,,,,0.006
Shotgun 2 RB 3 WR WR Curl,4.64,75,2.68,3.95,2.63,,-1.812
I Formation Normal Curl & Post,4.63,38,1.35,5.26,5.26,,0.185
Shotgun 5 Wide Parallel Slants,4.63,35,,,,,0.363
Strong I Normal WR Post TE Out,4.61,100,3.73,1.0,6.0,1.0,0.03
Split Backs 3 Wide Dive Left,4.56,92,,,,,0.898
Singleback Normal HB Dive Strong,4.54,105,,,,,0.7
Singleback Slot Strong HB Counter,4.47,169,,,,0.58,-0.048
Split Backs 3 Wide Dive Right,4.41,47,,,,,1.089
I Formation 3WR HB Inside Strong,4.39,190,,,,,-0.022
Goal Line Normal HB Toss Strong,4.37,113,,,,1.74,0.559
Singleback Big HB Inside Strong,4.32,69,,,,,-0.582
Shotgun 2 RB 3 WR FB In,4.25,71,-0.53,5.63,11.27,1.41,-1.254
Strong I Normal HB Dive Strong,4.24,90,,,,1.1,-0.361
Weak I Normal Skinny Posts,4.22,148,3.72,2.03,0.68,2.03,-0.462
Singleback Slot Strong HB Strong Inside,4.17,119,,,,,0.601
Shotgun 2 RB 3 WR Shotgun Dive,4.16,113,,,,,0.967
Split Backs 3 Wide Off Tackle Strong,4.1,72,,,,,-0.033
Weak I Big HB Lead Toss Weak,4.03,85,,,,,0.961
Strong I Big HB Off Tackle,3.98,41,,,,,-0.135
I Formation Normal PA Fullback Flat,3.94,191,3.42,2.02,0.51,1.01,-0.759
I Formation Power HB Sweep Weak,3.93,55,,,,,0.558
I Formation Normal HB Dive,3.9,268,,,,,-0.085
Strong I Normal HB Off Tackle Strong,3.76,184,,,,,-0.245
Goal Line Normal HB Off Tackle,3.75,118,,,,,-0.861
Weak I Normal HB Inside Strong,3.74,87,,,,,0.586
I Formation Power HB Strong Outside,3.68,184,,,,,0.351
Goal Line Normal HB Outside Strong,3.67,119,,,,0.81,0.031
Goal Line Normal HB Pitch Weak,3.57,149,,,,,-0.785
I Formation Normal HB Counter,3.44,63,,,,,-0.415
Goal Line Normal HB Dive,3.42,92,,,,2.11,-0.228
I Formation Normal FL Hook,3.29,116,2.23,2.59,0.86,,-1.287
Shotgun 2 RB 3 WR RB Curls,3.24,84,0.79,4.76,1.19,1.19,-1.698
Split Backs 3 Wide Drag In,3.16,31,0.04,3.12,9.38,3.12,-0.002
Strong I Big HB Toss Weak,3.15,53,,,,,-1.917
Split Backs Normal Skinny Post Corner,3.14,35,1.6,2.7,2.7,,-0.28
Singleback Big Off Tackle Strong,3.13,79,,,,,-0.44
Shotgun Normal HB Sweep,3.13,54,,,,,0.253
Goal Line Normal PA TE Drag,2.99,90,,1.1,,,-1.326
Weak I Normal FB Inside Weak,2.98,44,,,,,0.181
Shotgun 2 RB 3 WR FL Drag,2.83,64,,3.12,,1.56,-2.221
Shotgun Normal HB Dive,2.79,52,,,,,-0.045
I Formation Power HB Dive Weak,2.7,35,,,,,-1.864
Weak I Normal Fullback Counter Weak,2.67,62,,,,,-0.735
I Formation 3WR SE Post,2.56,73,-0.76,5.48,2.74,,-0.915
Shotgun Normal Double Outs,2.51,57,,3.51,,,-0.168
Strong I Normal Counter Strong,2.48,51,,,,,-0.882
Goal Line Normal HB Weak,1.97,91,,,,,-1.4
I Formation Normal PA Streaks,1.77,48,,,35.42,,-0.937
I Formation 3WR Slot Corner Long,1.73,70,-3.93,4.29,17.14,,-1.525
Shotgun Normal HB Delay,1.42,40,,,,,-1.917
I Formation 3WR HB Toss Strong,-1.82,56,,,,,-0.672
I Formation Twin WR Hard Slants,9.55,70,6.39,7.04,4.23,8.45,0.511
Singleback Normal FL Post,8.46,35,6.72,2.86,8.57,5.71,1.414
I Formation Twin WR Quick Outs,7.98,56,,1.79,,3.57,1.217
Shotgun Normal HB Flare,7.22,286,6.87,1.72,3.79,4.14,0.266
I Formation Normal PA Fullback Flat,7.1,117,,4.17,,4.17,0.34
Split Backs 3 Wide Slot Post,7.06,31,0.98,9.38,9.38,6.25,-0.231
I Formation Power PA Flats,6.93,122,5.4,3.25,4.88,4.07,0.809
I Formation 3WR HB Inside Weak,6.92,128,,,,0.76,1.174
I Formation Normal FL Hitch,6.83,194,6.26,2.54,2.03,2.54,0.8
Singleback Big Ins and Outs,6.75,54,4.46,5.45,1.82,3.64,0.066
Strong I Big TE Post,6.7,52,2.75,1.89,20.75,5.66,2.341
Weak I Normal Skinny Posts,6.67,93,,,1.06,3.19,-0.765
Singleback Normal HB Inside Weak,6.65,81,,,,,1.912
Split Backs 3 Wide Dive Left,6.45,47,,,,,1.122
I Formation 3WR FL Post,6.33,75,4.67,2.67,6.67,2.67,0.972
Shotgun Normal TE Out,6.33,33,,,,3.03,0.681
Singleback Normal HB Dive Weak,6.1,84,,,,,1.163
Weak I Normal WR Corner TE Middle,6.02,141,4.67,2.13,6.38,2.13,0.603
Singleback Normal HB Counter Weak,5.88,101,,,,1.98,0.652
Shotgun 2 RB 3 WR WR Curl,5.86,36,,,2.78,,0.161
Singleback 4 Wide Quick Outs,5.85,122,5.07,2.44,2.44,2.44,-1.267
I Formation Power Play Action HB Downfield,5.82,131,4.85,2.29,3.82,0.76,0.007
I Formation Normal Max Protect,5.74,76,,,6.49,3.9,0.218
Singleback Normal TE Quick Out,5.51,94,,,4.26,1.06,0.734
I Formation 3WR Slot Short WR Deep,5.51,113,2.55,3.54,9.73,,0.296
I Formation 3WR PA Fullback Flat,5.38,34,,2.94,,2.94,-0.696
Split Backs 3 Wide WR Quick Out,5.26,61,,,1.64,3.28,-0.158
Singleback Big WR Deep,5.25,56,2.01,1.79,16.07,1.79,0.37
I Formation 3WR WR Out,5.24,110,,1.8,,,0.01
Singleback Slot Strong HB Strong Inside,5.21,58,,,,,1.082
Goal Line Normal HB Toss Strong,5.13,61,,,,1.61,-0.95
I Formation 3WR HB Inside Strong,5.11,93,,,,,-0.324
Shotgun 2 RB 3 WR Shotgun Sweep,4.99,88,,,,2.25,0.636
Weak I Normal HB Inside Weak,4.96,137,,,,0.72,0.155
Shotgun 2 RB 3 WR RB Curls,4.87,47,,2.13,,,-1.403
I Formation Normal HB Dive,4.67,128,,,,,-0.145
I Formation Normal HB Blast,4.6,137,,,,0.71,-0.766
Singleback Big HB Inside Strong,4.59,54,,,,,-0.095
I Formation Normal HB Draw,4.54,55,,,,,0.6
I Formation 3WR SE Post,4.34,38,-2.16,10.53,5.26,,-1.353
I Formation Normal FL Hook,4.33,47,3.53,2.08,2.08,2.08,-0.231
Singleback Normal HB Release Mid,4.32,66,0.33,6.06,6.06,1.52,0.18
I Formation Power HB Strong Outside,4.31,92,,,,,1.026
Strong I Normal WR Post TE Out,4.2,55,,,1.82,,-0.101
Singleback Big Off Tackle Strong,4.18,40,,,,,0.819
Singleback Normal WR Quick In,4.0,36,,,,,-0.386
Singleback Slot Strong HB Counter,3.99,71,,,,1.32,0.122
Singleback Normal HB Dive Strong,3.83,47,,,,,-0.167
Strong I Normal HB Off Tackle Strong,3.81,89,,,,,0.198
Split Backs 3 Wide Dive Right,3.72,39,,,,,1.636
I Formation Normal PA Outside Curls,3.7,46,,2.13,,,-0.177
Goal Line Normal HB Outside Strong,3.52,61,,,,,-1.39
Strong I Normal HB Dive Strong,3.45,47,,,,,-0.265
Shotgun 2 RB 3 WR Shotgun Dive,3.38,42,,,,,-0.512
Strong I Big Backfield Drag,3.33,38,0.41,2.56,10.26,,0.606
Weak I Normal HB Inside Strong,3.09,33,,,,,0.984
Goal Line Normal HB Off Tackle,2.91,55,,,,,-0.184
I Formation Power HB Sweep Weak,2.85,33,,,,,-1.555
Goal Line Normal PA TE Drag,2.83,34,,2.86,,,-1.262
Goal Line Normal HB Dive,2.82,54,,,,,-0.105
I Formation Normal HB Counter,2.65,36,,,,,-0.967
Goal Line Normal HB Weak,2.48,49,,,,,-1.144
Shotgun 2 RB 3 WR WR Hooks,2.35,34,,2.94,,,-0.648
Goal Line Normal HB Pitch Weak,2.31,78,,,,,-0.482
Singleback 4 Wide Clear Center,2.21,68,,,25.0,2.94,-2.527
Shotgun Normal Double Outs,2.0,36,0.24,2.7,2.7,,-0.511
Weak I Normal Fullback Counter Weak,1.75,39,,,,,0.958
I Formation 3WR Slot Corner Long,1.35,37,-5.41,5.41,18.92,,-1.047
