OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Strong I Normal Quick Hooks,3.05,179,2.23,1.65,2.2,0.55,0.083
Goal Line Normal HB Dive,3.03,261,,,,0.37,-0.476
Shotgun Normal Short Attack,2.93,121,-0.26,3.28,9.02,2.46,-0.472
Singleback Normal HB Dive Weak,2.91,520,,,,0.19,0.353
Goal Line Normal HB Weak,2.9,217,,,,0.9,-0.725
I Formation Normal HB Blast,2.87,2178,,,,0.76,0.314
Weak I Big HB Off Tackle Strong,2.87,67,,,,,-0.331
Singleback Slot Strong Overload Strong,2.85,106,-0.69,2.8,12.15,0.93,-0.817
Split Backs 3 Wide Dive Left,2.84,474,,,,,-0.181
I Formation 3WR SE Post,2.84,480,0.71,3.53,2.91,0.83,-1.616
Singleback Slot Strong Post Curls,2.82,55,,5.45,,,-0.715
Weak I Big HB Lead Toss Weak,2.81,124,,,,,0.336
Shotgun 5 Wide WR Curls,2.76,33,-0.33,3.03,9.09,3.03,0.309
Singleback Big HB Curls TE Deep,2.71,177,-0.32,2.79,9.5,1.12,0.046
Strong I Normal HB Off Tackle Strong,2.7,1326,,,,,0.164
I Formation Normal SE Post,2.69,609,-5.27,3.43,32.19,1.47,-0.453
Empty 4 Wide Spread Flats,2.65,128,-0.06,4.62,2.31,2.31,-1.309
I Formation Power HB Draw,2.64,135,,,,0.74,-1.516
I Formation Normal TE Flag,2.64,147,-3.64,2.04,27.89,2.04,-0.97
Shotgun 4 Wide In and Out,2.63,51,-0.77,1.96,13.73,,1.183
Goal Line Normal HB Pitch Weak,2.61,297,,,,,-1.216
I Formation 3WR HB Inside Strong,2.59,885,,,,,-0.38
I Formation Big HB Counter Weak,2.57,36,,,,,-1.64
Singleback Big PA Curls,2.56,151,-0.15,1.94,10.32,0.65,-0.988
Shotgun 4 Wide Slot Drag,2.51,50,-0.91,3.92,7.84,,0.368
I Formation Twin WR HB Toss Strong,2.51,42,,,,,-2.187
Strong I Big HB Swing,2.5,55,-0.57,5.36,1.79,,0.096
Singleback Big TE Flat Curl,2.49,165,-0.75,1.81,13.25,0.6,-1.48
Split Backs 3 Wide Slot Drag,2.47,56,0.16,3.51,3.51,,-0.996
Split Backs Normal Overload Strong,2.44,80,-2.08,5.0,10.0,,0.215
Split Backs Normal Curls,2.43,46,0.31,2.17,6.52,,0.605
I Formation Power HB Sweep Weak,2.41,312,,,,0.63,-0.85
Shotgun 2 RB 3 WR WR Hooks,2.4,302,-0.56,4.64,3.31,0.33,-1.399
Shotgun 2 RB 3 WR FL Drag,2.35,286,1.14,2.45,1.05,1.75,-1.982
Goal Line Normal HB Toss Strong,2.33,253,,,,0.39,-0.406
Singleback Big Waggle Post,2.32,92,-6.79,4.35,34.78,1.09,-0.373
Weak I Normal HB Inside Strong,2.32,508,,,,,-0.468
Split Backs 3 Wide WR Post,2.29,93,-1.25,2.11,13.68,,-0.917
Empty 4 Wide Spread Corner Post,2.27,174,-3.21,7.43,7.43,,-0.415
Split Backs 3 Wide WR2 Deep Post,2.27,41,,,17.07,2.44,-1.486
Strong I Big HB Toss Strong,2.26,32,,,,,-0.698
I Formation Big HB Outside Weak,2.18,68,,,,,-1.372
Singleback Big Off Tackle Strong,2.18,619,,,,,0.056
Strong I Big WR Quick In,2.12,117,,0.85,,,0.402
I Formation Normal HB Counter,2.11,429,,,,,-0.529
Shotgun Normal Double Outs,2.09,267,0.88,2.59,0.37,0.37,-1.299
Strong I Normal Counter Strong,2.05,366,,,,,-0.211
Singleback Slot Strong TE Corner,2.02,50,-2.38,4.0,12.0,,-1.972
Singleback 4 Wide Post and Drag,1.94,88,,,16.85,1.12,-0.867
Strong I Big HB Toss Weak,1.89,45,,,,,0.585
Weak I Big HB Counter Weak,1.86,50,,,,,-0.45
Weak I Normal FB Inside Weak,1.74,260,,,,,0.306
Shotgun Normal Post Flags,1.68,50,-3.58,8.0,4.0,,-0.604
I Formation Normal FB Middle,1.66,134,-2.64,2.99,14.18,0.75,-0.76
Weak I Big TE Drag,1.66,53,-2.91,7.55,1.89,,-1.96
I Formation Twin WR Slot Out,1.47,34,,,32.35,,-1.28
Shotgun 2 RB 3 WR Shotgun Dive,1.38,489,,,,,0.249
I Formation 3WR Slot Corner Long,1.35,436,-6.15,4.79,24.43,,-1.604
I Formation Twin WR HB Toss Weak,1.28,104,,,,,-0.13
I Formation Twin WR HB Counter Middle,1.27,40,,,,,1.655
I Formation Normal PA Streaks,1.21,399,-8.9,2.99,42.79,0.5,-1.175
Shotgun 2 RB 3 WR Shotgun Sweep,1.2,831,,,,0.12,-0.356
Split Backs 3 Wide Off Tackle Weak,1.14,100,,,,,-0.378
I Formation Normal HB Toss Strong,1.11,151,,,,,-0.569
Singleback 4 Wide Clear Center,1.11,47,-3.78,2.13,19.15,2.13,-1.299
Singleback Empty 4 Slot Crosses,1.1,76,-6.73,2.6,32.47,3.9,-1.175
Singleback Normal HB Inside Weak,1.1,541,,,,0.72,0.252
Singleback Slot Strong Off Tackle Strong,0.91,43,,,,,-0.078
Shotgun Normal HB Dive,0.79,182,,,,,-1.02
Singleback Big HB Pitch Weak,0.76,158,,,,,-1.031
Strong I Normal HB Power Strong,0.69,99,,,,,-1.0
Weak I Normal Fullback Counter Weak,0.56,444,,,,,-0.22
I Formation Power Play Action Bomb,0.53,159,-10.55,3.11,46.58,,-1.455
Shotgun Normal HB Delay,0.35,118,,,,,-1.758
Split Backs 3 Wide Off Tackle Strong,0.29,326,,,,,-0.982
Strong I Normal HB Sweep Strong,0.21,71,,,,1.41,-0.838
Singleback Slot Strong HB Counter,0.04,517,,,,,-0.94
Singleback Normal HB Counter Weak,0.04,662,,,,0.3,-0.196
I Formation Normal HB Toss Weak,-0.02,121,,,,,-0.608
Shotgun 4 Wide Slot Curl,-0.22,32,-15.89,21.88,12.5,3.12,-2.933
Strong I Normal FB Trap Weak,-0.37,52,,,,,-1.821
I Formation 3WR HB Toss Strong,-0.96,285,,,,,-2.161
Empty 4 Wide Spread Deep Corner Post,-1.0,31,-11.52,9.68,22.58,,-2.257
Singleback Empty 4 TE Drag WR Mix,-1.17,35,-8.07,2.78,25.0,,-2.153
Shotgun Normal HB Sweep,-1.39,142,,,,0.69,-1.393
Weak I Normal All Go,-1.94,53,-14.19,1.85,53.7,,-1.742
Strong I Normal PA All Go,-2.07,58,-15.81,1.67,61.67,,-2.218
Shotgun 2 RB 3 WR Strong Deep,-2.34,114,-13.34,2.63,44.74,,-1.631
I Formation 3WR WR Post,-2.66,65,-10.58,1.54,32.31,,-2.69
Singleback Big WR Streaks,-3.49,81,-14.19,2.44,42.68,,-0.948
Shotgun Normal Deep Weak In and Out,-4.16,92,-17.04,2.15,53.76,1.08,-2.266
I Formation Normal TE Out,-6.3,40,,,80.0,,-2.678
Shotgun 5 Wide 5 WR All Go,-6.52,31,,,87.1,3.23,-3.092
