OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Singleback Empty 4 Slot Crosses,-0.77,73,-9.69,2.74,35.62,1.37,-1.061
I Formation Normal PA Streaks,-0.78,253,-13.25,4.31,48.63,,-1.301
I Formation 3WR HB Toss Strong,-1.03,215,,,,,-2.285
Singleback Empty 4 TE Drag WR Mix,-1.27,32,-8.19,3.03,24.24,,-2.406
I Formation Power Play Action Bomb,-1.43,122,-13.19,4.1,45.08,,-2.251
I Formation 3WR WR Post,-1.45,65,,,21.54,1.54,-1.454
Weak I Normal All Go,-3.21,42,-18.62,4.76,59.52,,-1.765
Singleback Big WR Streaks,-3.7,56,-14.79,1.79,46.43,,-1.034
Shotgun 2 RB 3 WR Strong Deep,-3.76,94,-19.19,6.38,54.26,,-1.981
Shotgun Normal Deep Weak In and Out,-4.58,72,,,56.16,1.37,-2.374
Shotgun 5 Wide 5 WR All Go,-6.52,31,,,87.1,3.23,-2.369
