OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
I Formation 3WR HB Inside Weak,4.67,1231,,,,1.04,-0.083
Weak I Normal FB Inside Weak,4.59,230,,,,0.87,0.184
Split Backs 3 Wide WR Quick Out,4.54,670,3.09,3.4,1.62,1.77,-0.351
Weak I Normal Skinny Posts,4.52,1220,4.12,1.79,1.14,2.28,-0.098
Shotgun Normal FL Slant,4.52,175,2.17,2.81,7.87,3.37,-0.399
Singleback Slot Strong HB Checkdown,4.48,93,1.97,4.26,4.26,2.13,-0.172
Split Backs 3 Wide Dive Right,4.48,280,,,,,0.17
I Formation Big HB Strong,4.4,47,,,,,-1.104
Weak I Big HB Dive Strong,4.4,92,,,,,0.529
Singleback Normal HB Dive Weak,4.39,492,,,,0.8,0.433
Singleback Normal WR Quick In,4.37,229,2.63,3.48,2.61,0.43,0.357
Singleback Slot Strong HB Strong Inside,4.34,279,,,,1.41,0.423
Strong I Big HB Off Tackle,4.32,92,,,,,-0.619
Weak I Big Off Tackle Weak,4.26,86,,,,1.16,0.096
Singleback Big Ins and Outs,4.23,673,1.59,5.29,1.62,1.76,0.221
I Formation Normal PA Fullback Flat,4.16,1444,3.5,1.91,1.71,2.53,-0.271
Strong I Normal Short Attack,4.15,224,2.94,3.11,0.89,0.89,-0.074
I Formation Power PA Flats,4.15,1394,2.24,2.56,6.03,0.85,0.02
Singleback Big Corner Ins,4.13,273,1.06,3.25,9.75,0.72,0.661
I Formation Normal HB Blast,4.12,2049,,,,1.29,0.277
Shotgun 2 RB 3 WR RB Curls,4.1,384,1.08,4.6,5.37,1.53,-0.973
Split Backs Normal HB Off Tackle,4.08,64,,,,1.52,1.076
Goal Line Normal HB Pitch Weak,4.05,233,,,,,-0.472
Goal Line Normal HB Outside Strong,4.04,221,,,,,-0.3
Singleback Normal PA Rollout,4.03,132,0.29,3.79,11.36,0.76,-0.784
Strong I Big Backfield Drag,4.03,576,2.5,2.23,4.98,1.72,0.357
Split Backs 3 Wide Slot Post,3.96,389,0.42,3.57,10.97,0.77,0.334
Shotgun 5 Wide Parallel Slants,3.95,254,2.32,3.12,2.73,0.39,-0.077
Singleback Normal Post Corner,3.93,68,-0.58,2.94,17.65,2.94,-0.185
Goal Line Normal HB Dive,3.9,233,,,,0.82,-0.38
I Formation Normal HB Draw,3.9,759,,,,,0.28
Singleback Big HB Inside Strong,3.81,766,,,,,0.342
Weak I Big HB Lead Toss Weak,3.74,115,,,,,0.421
I Formation Twin WR Hook Ins,3.7,97,1.08,3.96,4.95,1.98,-0.258
Strong I Normal HB Dive Strong,3.69,604,,,,0.16,0.76
Strong I Normal WR Post TE Out,3.64,738,2.14,2.02,5.11,0.27,0.117
Split Backs Normal WR Post,3.63,158,0.46,3.77,8.18,2.52,0.481
Singleback Slot Strong Post Curls,3.63,54,,3.7,,,-0.027
Strong I Normal HB Off Tackle Strong,3.63,1221,,,,,0.349
Goal Line Normal PA TE Drag,3.62,212,2.58,2.78,0.46,,-0.406
Singleback Empty 4 Curl Flats,3.61,54,1.37,3.7,3.7,,-0.928
Goal Line Normal HB Weak,3.56,166,,,,0.58,0.176
I Formation Normal Strong Flood,3.55,44,,,,,-0.57
Goal Line Normal HB Off Tackle,3.53,187,,,,0.53,-0.664
I Formation Power HB Draw,3.53,115,,,,0.86,-1.3
Split Backs 3 Wide RB Curls,3.52,54,-3.19,3.7,25.93,1.85,-0.084
Split Backs Normal Weak Pitch Sweep,3.49,160,,,,0.61,-0.578
I Formation 3WR HB Inside Strong,3.49,835,,,,,-0.263
Weak I Big HB Off Tackle Strong,3.47,74,,,,,0.218
Split Backs Normal Strong Pitch Sweep,3.46,52,,,,1.85,0.051
Split Backs 3 Wide Drag In,3.43,154,1.26,1.95,8.44,,-0.757
Singleback Big WR Deep,3.41,993,-1.57,4.98,13.35,1.59,0.402
Singleback Empty 4 Short Posts,3.41,135,2.17,2.22,2.96,0.74,-1.513
Weak I Normal Fullback Counter Weak,3.41,435,,,,0.23,0.353
Split Backs Normal TE Curl,3.38,56,,7.14,,,0.363
Singleback Normal FL Post,3.3,230,-0.09,3.88,8.62,1.29,0.245
Singleback Big Off Tackle Strong,3.3,605,,,,,0.263
Singleback Normal SE Quick Hit,3.28,166,1.33,4.14,0.59,1.18,0.359
Goal Line Normal HB Toss Strong,3.26,262,,,,,0.573
Shotgun 2 RB 3 WR WR Curl,3.23,373,0.72,4.28,2.94,0.53,-1.382
Shotgun 5 Wide Slot Cross,3.2,50,,,7.84,1.96,0.537
I Formation Big TE Sneak Out,3.19,72,,6.94,,,-0.597
Split Backs Normal Skinny Post Corner,3.19,232,2.22,2.54,0.42,1.69,0.551
Singleback Slot Strong HB Flat,3.18,39,,2.56,,2.56,1.376
I Formation Normal HB Counter,3.13,405,,,,,-0.273
Weak I Normal HB Inside Strong,3.12,465,,,,0.42,-0.335
Split Backs 3 Wide Dive Left,3.04,487,,,,,0.009
I Formation Normal PA Outside Curls,3.03,655,0.82,2.73,5.91,0.15,-0.655
Shotgun Normal TE Out,2.99,305,-0.02,4.52,4.52,0.65,-1.226
Strong I Normal Counter Strong,2.92,317,,,,,0.05
Singleback Normal Hitch Corner,2.91,34,,,,,-0.171
I Formation Normal Curl & Post,2.91,293,-0.01,4.71,3.37,0.67,-0.214
I Formation 3WR Weak Flood,2.9,103,,,,,-1.445
Singleback Normal WR Post,2.87,76,-1.82,6.58,6.58,,-1.084
Shotgun Normal Slot Drag,2.85,65,-4.28,12.31,1.54,,-1.235
Strong I Normal Quick Hooks,2.83,165,2.07,1.8,1.2,,-0.254
Shotgun 2 RB 3 WR FB In,2.81,385,-1.96,4.4,13.47,0.78,-1.524
Singleback Slot Strong Overload Strong,2.8,96,-0.39,3.12,9.38,1.04,-0.884
I Formation Normal Cross In,2.78,142,2.22,1.4,1.4,0.7,0.17
I Formation Twin WR Slot Hitch,2.77,128,1.46,2.33,2.33,0.78,0.374
I Formation Twin WR HB Toss Weak,2.77,96,,,,,-0.518
Singleback Big PA Curls,2.74,143,0.41,2.05,8.22,0.68,-0.932
I Formation Big HB Outside Weak,2.73,63,,,,,-1.253
I Formation Twin WR HB Toss Strong,2.7,45,,,,,-1.591
I Formation Normal FL Hook,2.65,750,1.19,2.25,3.18,0.4,-0.861
I Formation 3WR Slot Corner Short,2.62,288,0.3,4.51,0.69,,-0.401
Split Backs 3 Wide WR Post,2.62,91,-0.16,1.1,13.19,,-1.144
Singleback Normal HB Inside Weak,2.58,486,,,,0.61,0.285
Weak I Big HB Counter Weak,2.54,57,,,,,-0.047
Shotgun 4 Wide In and Out,2.44,50,-1.07,2.0,14.0,,1.398
Split Backs Normal Curls,2.43,35,0.06,2.86,5.71,,0.859
Empty 4 Wide Spread Flats,2.38,126,-0.43,4.69,2.34,1.56,-1.15
Shotgun 4 Wide Slot Drag,2.28,49,-1.26,4.0,8.0,,0.41
Strong I Big HB Toss Weak,2.22,48,,,,,0.756
Empty 4 Wide Spread Corner Post,2.19,173,-3.35,7.47,7.47,,-0.394
Singleback Big HB Curls TE Deep,2.17,172,-0.98,3.47,7.51,0.58,-0.077
Singleback Slot Strong Skinny Posts,2.12,89,1.66,1.11,1.11,2.22,-0.946
Singleback 4 Wide Post and Drag,2.07,87,,,17.05,1.14,-0.688
Shotgun 2 RB 3 WR Shotgun Sweep,2.06,825,,,,0.24,-0.51
Split Backs 3 Wide Slot Drag,1.98,45,-2.41,6.52,4.35,,-1.099
Singleback Big TE Flat Curl,1.96,159,-1.04,1.89,11.32,0.63,-1.413
Strong I Normal HB Sweep Strong,1.96,57,,,,,-0.617
Shotgun Normal Short Attack,1.92,97,-3.06,5.15,11.34,1.03,-0.693
I Formation Normal HB Toss Strong,1.91,123,,,,,-0.831
Split Backs 3 Wide Off Tackle Strong,1.91,312,,,,,-0.911
I Formation 3WR SE Post,1.85,486,-1.07,4.31,3.49,0.21,-1.664
Singleback Big Waggle Post,1.85,89,-6.76,3.37,34.83,,-0.4
Singleback Slot Strong HB Counter,1.85,457,,,,0.43,-0.588
I Formation Twin WR HB Counter Middle,1.84,36,,,,,0.704
Strong I Big HB Swing,1.79,41,-2.62,7.14,2.38,,0.039
Shotgun 2 RB 3 WR WR Hooks,1.78,327,-1.41,4.89,3.06,0.31,-1.464
Shotgun 2 RB 3 WR FL Drag,1.75,285,-0.0,3.16,1.05,1.05,-2.026
Shotgun Normal Double Outs,1.75,250,-0.44,3.97,0.79,,-1.553
Split Backs 3 Wide WR2 Deep Post,1.71,35,-3.09,2.86,17.14,,-0.958
Singleback Normal HB Counter Weak,1.69,606,,,,0.66,-0.002
Strong I Big WR Quick In,1.69,119,,2.52,,,0.708
Shotgun 2 RB 3 WR Shotgun Dive,1.69,462,,,,,-0.172
Singleback Slot Strong TE Corner,1.65,49,-4.14,6.12,12.24,,-1.442
I Formation Normal FB Middle,1.64,129,-2.03,1.54,15.38,,-0.263
I Formation Normal TE Flag,1.61,126,-5.88,4.69,25.0,,-0.66
I Formation 3WR Outside Curls,1.5,38,-1.36,2.63,7.89,,-1.474
Split Backs Normal Overload Strong,1.47,74,-1.48,4.05,4.05,,-0.132
Weak I Big TE Drag,1.44,59,-3.69,8.47,1.69,,-1.067
Shotgun Normal Post Flags,1.4,48,-4.16,8.33,4.17,,-0.994
I Formation Normal SE Post,1.35,542,-7.21,4.04,31.99,0.92,-0.721
Singleback Big HB Pitch Weak,1.23,140,,,,,-1.08
Split Backs 3 Wide Off Tackle Weak,1.13,82,,,,,-1.079
Singleback Slot Strong Off Tackle Strong,1.13,38,,,,,-0.694
Shotgun Normal HB Dive,1.12,167,,,,,-1.034
I Formation Normal HB Toss Weak,1.08,106,,,,,-0.905
Strong I Normal HB Power Strong,1.07,84,,,,,-0.042
I Formation 3WR Slot Corner Long,0.99,448,-7.6,6.03,25.89,,-1.603
Singleback 4 Wide Clear Center,0.85,46,-4.2,2.17,19.57,2.17,-1.007
Shotgun 5 Wide WR Curls,0.81,32,-2.78,3.12,9.38,,0.28
Shotgun Normal HB Delay,0.58,118,,,,,-2.009
Strong I Normal FB Trap Weak,0.41,43,,,,,-1.219
I Formation Normal PA Streaks,0.36,363,-10.64,3.29,45.48,0.27,-1.112
Shotgun Normal HB Sweep,0.29,131,,,,0.75,-0.995
Shotgun 4 Wide Slot Curl,-0.23,31,-14.46,19.35,12.9,3.23,-2.618
Strong I Normal PA All Go,-0.43,48,-13.58,2.04,59.18,,-3.004
Singleback Empty 4 Slot Crosses,-0.62,78,-9.1,2.53,34.18,1.27,-1.258
I Formation Power Play Action Bomb,-0.76,146,-11.93,4.08,42.86,,-2.146
I Formation 3WR HB Toss Strong,-0.81,272,,,,,-2.067
Singleback Empty 4 TE Drag WR Mix,-1.27,32,-8.19,3.03,24.24,,-2.609
I Formation 3WR WR Post,-1.49,71,,,21.13,1.41,-1.723
I Formation Twin WR Slot Out,-2.11,35,,,41.67,,-1.145
Weak I Normal All Go,-2.91,54,-17.19,3.7,57.41,,-1.348
Singleback Big WR Streaks,-2.92,78,-12.88,2.53,39.24,,-1.138
Shotgun 2 RB 3 WR Strong Deep,-3.13,114,-16.92,5.26,50.0,,-1.972
Shotgun Normal Deep Weak In and Out,-4.51,86,-16.9,1.15,54.02,1.15,-2.54
Shotgun 5 Wide 5 WR All Go,-6.52,31,,,87.1,3.23,-2.647
I Formation Normal TE Out,-7.44,36,,,86.11,,-2.04
