OffensivePlay,OffPlayType,OffPersonnel,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Shotgun 2 RB 3 WR WR Curl,Medium Pass,2RB/3WR,4.06,6905,2.86,2.84,1.56,0.75,-0.868
Weak I Big HB Off Tackle Strong,Inside Run,2RB/2TE/1WR,4.03,1185,4.83,0.0,0.0,1.0,0.071
Shotgun 5 Wide Slot Cross,Medium Pass,5WR,4.02,1587,1.61,3.17,6.53,1.0,-0.902
Singleback Normal SE Quick Hit,Short Pass,1RB/1TE/3WR,4.01,4106,3.69,1.57,0.92,0.96,0.435
Weak I Big HB Counter Weak,Outside Run,2RB/2TE/1WR,3.9,1030,4.68,0.0,0.0,0.96,0.428
Singleback Normal Post Corner,Medium Pass,1RB/1TE/3WR,3.89,2005,-0.06,2.98,14.7,1.49,-0.498
I Formation Big HB Strong,Inside Run,2RB/2TE/1WR,3.86,389,4.63,0.0,0.0,0.75,-0.389
Singleback Normal WR Post,Medium Pass,1RB/1TE/3WR,3.82,2063,2.02,2.78,4.51,0.72,0.008
I Formation Twin WR Hook Ins,Medium Pass,2RB/1TE/2WR,3.81,972,2.74,1.72,4.04,0.51,-0.183
Singleback Slot Strong Overload Strong,Medium Pass,1RB/1TE/3WR,3.8,1514,0.23,3.92,9.87,1.11,-0.331
Singleback Slot Strong Post Curls,Short Pass,1RB/1TE/3WR,3.75,905,3.25,1.86,0.66,0.33,-0.836
Goal Line Normal HB Toss Strong,Outside Run,2RB/3TE,3.73,10407,4.48,0.0,0.0,0.66,-0.63
Strong I Big WR Quick In,Short Pass,2RB/2TE/1WR,3.72,1561,2.99,2.28,0.57,0.95,0.483
I Formation Twin WR Slot Hitch,Medium Pass,2RB/1TE/2WR,3.72,1515,2.38,2.87,1.82,0.26,0.299
Singleback Slot Strong TE Corner,Medium Pass,1RB/1TE/3WR,3.68,1531,0.23,4.02,8.83,0.78,-0.537
Strong I Big TE Drag,Short Pass,2RB/2TE/1WR,3.67,356,3.52,0.56,2.78,1.11,-0.333
Strong I Big HB Swing,Short Pass,2RB/2TE/1WR,3.67,679,2.62,2.48,1.46,1.02,0.093
Split Backs 3 Wide Off Tackle Strong,Outside Run,2RB/3WR,3.66,4782,4.4,0.0,0.0,0.1,-0.085
Split Backs 3 Wide Dive Right,Inside Run,2RB/3WR,3.64,4739,4.37,0.0,0.0,0.04,0.324
Weak I Big HB Dive Strong,Inside Run,2RB/2TE/1WR,3.63,1211,4.36,0.0,0.0,0.57,0.516
Goal Line Normal HB Off Tackle,Outside Run,2RB/3TE,3.62,10265,4.35,0.0,0.0,0.83,-0.826
Goal Line Normal HB Outside Strong,Outside Run,2RB/3TE,3.61,10663,4.33,0.0,0.0,0.63,-0.792
I Formation Twin WR Strong Flood,Short Pass,2RB/1TE/2WR,3.61,199,3.44,1.0,1.49,0.5,-0.189
Singleback Big Off Tackle Strong,Outside Run,1RB/2TE/2WR,3.6,6721,4.32,0.0,0.0,0.01,0.013
Strong I Big HB Toss Weak,Outside Run,2RB/2TE/1WR,3.57,1201,4.29,0.0,0.0,0.74,0.405
Split Backs Normal Strong Pitch Sweep,Outside Run,2RB/1TE/2WR,3.57,947,4.28,0.0,0.0,0.21,0.216
I Formation Power HB Sweep Weak,Outside Run,3RB/1TE/1WR,3.56,6462,4.27,0.0,0.0,1.05,-0.135
Strong I Normal HB Off Tackle Strong,Outside Run,2RB/1TE/2WR,3.56,15737,4.27,0.0,0.0,0.05,-0.134
Weak I Normal HB Inside Strong,Inside Run,2RB/1TE/2WR,3.55,6370,4.26,0.0,0.0,0.29,-0.187
I Formation Big HB Outside Weak,Outside Run,2RB/2TE/1WR,3.55,930,4.26,0.0,0.0,0.42,-0.792
Singleback Slot Strong Skinny Posts,Short Pass,1RB/1TE/3WR,3.54,1964,2.2,2.92,1.46,1.16,-0.439
I Formation Normal Cross In,Short Pass,2RB/1TE/2WR,3.47,1784,3.23,1.16,1.21,0.33,-0.282
I Formation Power HB Draw,Inside Run,3RB/1TE/1WR,3.46,2442,4.15,0.0,0.0,0.6,-0.733
I Formation Normal FL Hook,Medium Pass,2RB/1TE/2WR,3.45,9392,2.5,1.93,2.42,0.49,-0.961
Singleback Slot Strong TE Slot Curls,Short Pass,1RB/1TE/3WR,3.44,444,1.35,4.42,0.66,0.44,-1.113
Split Backs 3 Wide WR Post,Medium Pass,2RB/3WR,3.43,1437,0.26,3.87,7.67,0.41,-0.674
Shotgun Normal Short Attack,Medium Pass,1RB/1TE/3WR,3.42,2383,1.22,3.04,5.32,0.67,-0.156
I Formation Power HB Dive Weak,Inside Run,3RB/1TE/1WR,3.41,3485,4.09,0.0,0.0,0.68,-0.547
Shotgun Normal Slot Drag,Short Pass,1RB/1TE/3WR,3.4,1201,2.37,2.73,0.41,0.5,-0.462
Shotgun 2 RB 3 WR FB In,Medium Pass,2RB/3WR,3.35,5791,-0.11,3.47,10.24,0.91,-1.029
I Formation Normal Strong Flood,Short Pass,2RB/1TE/2WR,3.35,547,2.65,1.8,1.44,0.18,-0.573
Weak I Normal FB Inside Weak,Inside Run,2RB/1TE/2WR,3.34,2348,4.01,0.0,0.0,0.17,-0.384
Goal Line Normal FB Dive,Inside Run,2RB/3TE,3.33,423,4.0,0.0,0.0,,0.328
Shotgun 4 Wide Slot Drag,Short Pass,1RB/4WR,3.33,554,2.03,2.33,2.86,,-0.816
I Formation Normal PA Outside Curls,Short Pass,2RB/1TE/2WR,3.3,8332,0.76,3.12,6.62,0.52,-1.107
Shotgun Normal HB Sweep,Outside Run,1RB/1TE/3WR,3.27,3792,3.92,0.0,0.0,0.05,-0.254
Empty 4 Wide Spread Flats,Short Pass,1TE/4WR,3.27,1547,1.5,3.31,2.17,0.57,-0.563
I Formation Normal Curl & Post,Medium Pass,2RB/1TE/2WR,3.24,3094,0.42,3.69,6.26,0.58,-0.301
Strong I Normal Quick Hooks,Short Pass,2RB/1TE/2WR,3.24,1913,2.34,2.21,1.13,0.36,-1.018
